GoFreight Page Ranking Comparison: Jan-Jun 2025 vs Dec 2025

JAN-JUN 2025 TOP PAGES (By Clicks)
Rank,Page URL,Clicks,Impressions,CTR,Avg Position
9,https://archive.gofreight.com/blog/education/how-to-apply-for-nvocc-license.html,27,2428,1.11%,10.5
10,https://archive.gofreight.com/blog/education/top-10-freight-forwarding-training-courses-in-2024.html,26,3291,0.79%,18.0
11,https://archive.gofreight.com/blog/industry-insights/mastering-fob-in-shipping-a-complete-guide.html,24,14239,0.17%,9.9
12,https://www.gofreight.com/blog/general/career-paths-in-freight-forwarding.html,23,1370,1.68%,10.0
13,https://archive.gofreight.com/solutions/customer-portal,21,4172,0.50%,5.7
14,https://archive.gofreight.com/blog/education/bill-of-lading-vs-packing-slip.html,19,6237,0.30%,6.3
15,https://archive.gofreight.com/glossary/international-transportation-services-tracking,19,828,2.29%,11.0
16,https://support.gofreight.com/hc/en-us/articles/14378165476751-Check-Bond-Status-Importer-Bond-Details-Overview,19,139,13.67%,6.1
17,https://gofreight.com/freight-forwarding-software,18,24207,0.07%,7.2
18,https://archive.gofreight.com/container-tracking-system,17,7199,0.24%,41.8
19,https://www.gofreight.com/blog/tips/5-sales-strategies-for-freight-forwarding-company.html,17,781,2.18%,14.4
20,https://api.gofreight.com/,16,947,1.69%,9.4


RANKING COMPARISON ANALYSIS

Key URL Changes (Matching URLs between periods):

Page URL,Jan-Jun Rank,Jan-Jun Clicks,Dec Rank,Dec Clicks,Rank Change,Click Change
https://www.gofreight.com/ (homepage),1,6089,1,1201,0 (stable),-4888 (-80%)
https://www.gofreight.com/blog/education/how-to-do-custom-clearance-in-usa-for-goods.html,4,1367,2 (archive),55,+2 improved,-1312 (-96%)
https://www.gofreight.com/glossary/maher-terminal-tracking,5,1290,6 (archive),33,-1 declined,-1257 (-97%)
https://www.gofreight.com/blog/education/10-best-books-on-freight-forwarding-to-read-in-2021.html,10,580,4 (archive),42,+6 improved,-538 (-93%)
https://www.gofreight.com/blog/education/top-10-freight-forwarding-training-courses-in-2024.html,8,820,10 (archive),26,-2 declined,-794 (-97%)
https://www.gofreight.com/blog/education/how-to-apply-for-nvocc-license.html,7,867,9 (archive),27,-2 declined,-840 (-97%)
https://www.gofreight.com/blog/education/bill-of-lading-vs-packing-slip.html,11,483,14 (archive),19,-3 declined,-464 (-96%)
https://www.gofreight.com/blog/industry-insights/mastering-fob-in-shipping-a-complete-guide.html,15,347,11 (archive),24,+4 improved,-323 (-93%)
https://www.gofreight.com/tracking-portal,17,313,3 (archive),47,+14 improved,-266 (-85%)
https://gofreight.com/pricing,N/A (not in top 20),147,8,28,NEW TOP 20,-119 (-81%)


CRITICAL FINDINGS:

1. MASSIVE TRAFFIC DROP: Homepage dropped from 6,089 clicks (Jan-Jun) to 1,201 clicks (Dec) = -80% decline
2. ARCHIVE SUBDOMAIN ISSUE: Most Dec 2025 top pages are on archive.gofreight.com instead of www.gofreight.com
3. DDP INCOTERMS PAGE DISAPPEARED: Was #2 with 4,734 clicks in Jan-Jun, not in Dec top 50
4. STANDARD CARRIER ALPHA CODE DISAPPEARED: Was #3 with 2,062 clicks in Jan-Jun, not in Dec top 50
5. NEW SUPPORT PAGES APPEARING: support.gofreight.com pages now ranking (bond status, knowledge center)

URL DOMAIN DISTRIBUTION - DEC 2025:
- archive.gofreight.com: 20+ pages in top 50
- gofreight.com (no www): 5 pages
- www.gofreight.com: 8 pages
- support.gofreight.com: 6 pages
- api.gofreight.com: 1 page

RECOMMENDATION: Implement 301 redirects from archive subdomain to www domain to consolidate traffic
